#     size |            time |
#-----------------------------
      1000 |         2.10500 | 
    101000 |       265.56740 | 
    201000 |       504.22260 | 
    301000 |       760.96940 | 
    401000 |       946.70100 | 
    501000 |      1090.09120 | 
    601000 |      1419.32740 | 
    701000 |      1829.67160 | 
    801000 |      2411.52900 | 
    901000 |      3247.39400 | 
   1001000 |      3749.30960 | 
   1101000 |      4297.23240 | 
   1201000 |      5287.34200 | 
   1301000 |      6120.96160 | 
   1401000 |      7979.01800 | 
   1501000 |      9529.84300 | 
   1601000 |     10463.27000 | 
   1701000 |     13375.43920 | 
   1801000 |     14169.33060 | 
   1901000 |     16571.69960 | 
