      1000 |    2.37720  |    0.38180 |    1.91420  |
     11000 |  232.81340  |   49.16120 |  260.97960  |
     21000 |  889.66420  |  181.28720 |  929.83960  |
     31000 | 1975.98340  |  388.60360 | 1963.49920  |
     41000 | 3380.79720  |  666.50700 | 3459.95500  |
     51000 | 5161.17380  | 1012.59440 | 5309.01380  |
     61000 | 7304.55960  | 1465.41680 | 7546.61240  |
     71000 | 9800.28240  | 1976.07160 | 10223.63380 |
     81000 | 12755.69720 | 2550.79700 | 13320.36580 |
     91000 | 16035.95640 | 3244.14820 | 16953.79680 |
