#     size |          binary |            50th |  optimized 50th |
#----------------------------------------------------------------|
    100000 |        21.82040 |        51.84920 |        30.52600 | 
    200000 |        46.26880 |       105.13020 |        61.41460 | 
    300000 |        72.61360 |       163.84040 |        90.38020 | 
    400000 |        97.39660 |       233.30620 |       121.64220 | 
    500000 |       125.20280 |       304.43740 |       136.79880 | 
    600000 |       102.92600 |       220.00960 |       107.04840 | 
    700000 |       104.27140 |       262.00140 |       125.08120 | 
    800000 |       120.86120 |       306.38300 |       143.29480 | 
    900000 |       137.47380 |       346.96740 |       163.85120 | 
   1000000 |       154.54160 |       390.10840 |       179.74820 | 
   1100000 |       171.08780 |       432.69680 |       198.51680 | 
   1200000 |       189.01500 |       475.95160 |       221.02240 | 
   1300000 |       206.34420 |       516.88160 |       234.67340 | 
   1400000 |       222.27560 |       556.52100 |       252.89980 | 
   1500000 |       239.27720 |       599.46620 |       269.92740 | 
   1600000 |       256.47280 |       641.61320 |       287.98440 | 
   1700000 |       271.84380 |       684.37640 |       309.24940 | 
   1800000 |       290.24660 |       728.21600 |       322.88820 | 
   1900000 |       310.47160 |       770.40200 |       341.61660 | 
   2000000 |       326.85880 |       810.44100 |       359.20320 | 
   2100000 |       345.19180 |       855.09680 |       377.00820 | 
   2200000 |       359.39780 |       898.48220 |       395.53840 | 
   2300000 |       381.63920 |       940.62200 |       412.99700 | 
   2400000 |       398.00120 |       982.33400 |       431.02820 | 
   2500000 |       415.79860 |      1024.74420 |       450.24800 | 
   2600000 |       436.87640 |      1070.52780 |       473.36560 | 
   2700000 |       452.10300 |      1109.10700 |       491.93060 | 
   2800000 |       469.87140 |      1153.10500 |       503.62480 | 
   2900000 |       489.68920 |      1198.41280 |       521.19360 | 
   3000000 |       512.46300 |      1241.66800 |       539.30900 | 
   3100000 |       524.45100 |      1280.53780 |       557.17160 | 
   3200000 |       545.88800 |      1333.00440 |       578.37320 | 
   3300000 |       587.51360 |      1374.58040 |       616.52280 | 
   3400000 |       610.69860 |      1452.93740 |       621.11660 | 
   3500000 |       635.48020 |      1565.54400 |       642.89340 | 
   3600000 |       625.62060 |      1500.18480 |       648.45000 | 
   3700000 |       639.31700 |      1542.79560 |       665.14280 | 
   3800000 |       659.45380 |      1586.35320 |       684.02660 | 
   3900000 |       682.74700 |      1627.12600 |       700.04920 | 
   4000000 |       698.17340 |      1674.28780 |       718.47700 | 
   4100000 |       723.66940 |      1719.96820 |       736.76800 | 
   4200000 |       739.21980 |      1763.74200 |       758.10320 | 
   4300000 |       762.82460 |      1807.44640 |       771.92080 | 
   4400000 |       777.41600 |      1845.54840 |       790.30960 | 
   4500000 |       797.12460 |      1899.26100 |       831.26400 | 
   4600000 |       815.87980 |      1939.99980 |       825.75520 | 
   4700000 |       851.49560 |      2042.82740 |       866.05180 | 
   4800000 |       903.72840 |      2074.19060 |       864.43700 | 
   4900000 |       877.18700 |      2084.98520 |       881.02720 | 
   5000000 |       905.28380 |      2132.63380 |       920.81140 | 
