    100000 |        21.88820 |       173.58280 |        45.20840 | 
    200000 |        46.10500 |       355.86160 |        89.98540 | 
    300000 |        71.40940 |       610.61580 |       133.50800 | 
    400000 |        79.98880 |       526.70500 |       107.80540 | 
    500000 |        72.81020 |       668.72560 |       134.48800 | 
    600000 |        88.69060 |       823.93720 |       161.06640 | 
    700000 |       105.06540 |       989.55520 |       189.23580 | 
    800000 |       121.88580 |      1142.44040 |       216.89260 | 
    900000 |       138.43900 |      1300.76500 |       244.18680 | 
   1000000 |       154.80560 |      1456.31600 |       268.17420 | 
   1100000 |       170.47720 |      1607.12640 |       294.42460 | 
   1200000 |       187.05880 |      1756.14840 |       321.71700 | 
   1300000 |       204.74180 |      1922.45980 |       348.79360 | 
   1400000 |       220.88440 |      2072.30620 |       375.29440 | 
   1500000 |       237.36380 |      2222.32200 |       402.13780 | 
   1600000 |       255.01920 |      2390.73760 |       429.42560 | 
   1700000 |       271.30620 |      2540.83300 |       456.00520 | 
   1800000 |       288.34100 |      2696.49980 |       482.84020 | 
   1900000 |       305.08200 |      2859.67900 |       509.52640 | 
   2000000 |       323.52120 |      3014.95220 |       535.94880 | 
   2100000 |       342.44580 |      3163.19500 |       563.46240 | 
   2200000 |       359.37560 |      3335.23160 |       595.34580 | 
   2300000 |       380.66580 |      3482.43260 |       617.07440 | 
   2400000 |       395.37960 |      3633.48180 |       643.81820 | 
   2500000 |       412.30880 |      3807.60260 |       671.41940 | 
   2600000 |       431.74920 |      3952.88720 |       697.74060 | 
   2700000 |       449.46260 |      4107.66040 |       724.54580 | 
   2800000 |       477.00240 |      4279.61880 |       751.27780 | 
   2900000 |       486.92180 |      4432.55780 |       778.56760 | 
   3000000 |       505.15460 |      4578.59500 |       805.47140 | 
   3100000 |       523.74280 |      4757.40740 |       836.67600 | 
   3200000 |       541.94140 |      4902.63900 |       858.69140 | 
   3300000 |       560.42540 |      5049.87840 |       886.71320 | 
   3400000 |       576.92280 |      5229.74380 |       913.43800 | 
   3500000 |       599.36440 |      5376.07520 |       940.49780 | 
   3600000 |       619.04680 |      5526.99300 |       973.22200 | 
   3700000 |       638.15280 |      5705.90500 |       994.70240 | 
   3800000 |       658.43540 |      5855.28420 |      1027.42800 | 
   3900000 |       675.38400 |      6004.02920 |      1049.66820 | 
   4000000 |       695.99420 |      6189.48640 |      1074.83080 | 
   4100000 |       712.96560 |      6333.16580 |      1123.49580 | 
   4200000 |       780.92140 |      6486.85760 |      1129.18300 | 
   4300000 |       754.37720 |      6663.19220 |      1156.52200 | 
   4400000 |       774.29400 |      6806.41160 |      1182.81860 | 
   4500000 |       794.86000 |      6956.74020 |      1219.18040 | 
   4600000 |       814.10120 |      7138.63960 |      1236.63900 | 
   4700000 |       835.02340 |      7285.58260 |      1263.37400 | 
   4800000 |       855.44560 |      7430.64940 |      1290.95800 | 
   4900000 |       877.86580 |      7616.64260 |      1316.75260 | 
   5000000 |       895.70220 |      7761.35780 |      1343.96360 | 
