#     size |          binary |            25th |  optimized 25th |
#----------------------------------------------------------------|
    100000 |        21.77200 |        34.97840 |        25.23580 | 
    200000 |        46.04880 |        73.92740 |        50.33600 | 
    300000 |        72.72780 |       114.15940 |        75.35700 | 
    400000 |        97.49580 |       153.59100 |       100.95420 | 
    500000 |       124.32700 |       193.31900 |       125.08440 | 
    600000 |       152.00320 |       193.62500 |        91.82060 | 
    700000 |       104.24980 |       158.63440 |       103.52260 | 
    800000 |       119.78500 |       181.83500 |       118.92040 | 
    900000 |       136.32460 |       209.38700 |       133.71900 | 
   1000000 |       153.45720 |       237.14540 |       148.20300 | 
   1100000 |       170.59420 |       265.74860 |       163.56780 | 
   1200000 |       187.41060 |       292.58080 |       178.83840 | 
   1300000 |       205.27260 |       322.32080 |       194.49580 | 
   1400000 |       221.83900 |       350.04300 |       209.86440 | 
   1500000 |       243.41720 |       379.71120 |       225.05420 | 
   1600000 |       255.68660 |       407.95080 |       242.93620 | 
   1700000 |       274.24140 |       435.17240 |       255.12080 | 
   1800000 |       290.07020 |       464.60340 |       269.34920 | 
   1900000 |       309.63380 |       491.23400 |       284.20000 | 
   2000000 |       325.66580 |       521.04960 |       298.93960 | 
   2100000 |       346.19320 |       554.04480 |       313.98720 | 
   2200000 |       360.22960 |       578.12400 |       328.88600 | 
   2300000 |       381.33260 |       611.54360 |       343.92420 | 
   2400000 |       397.30840 |       636.23280 |       362.97680 | 
   2500000 |       416.52400 |       666.60720 |       373.94500 | 
   2600000 |       436.41320 |       710.12800 |       388.34140 | 
   2700000 |       450.76540 |       737.70280 |       413.87700 | 
   2800000 |       477.47020 |       756.30060 |       418.33880 | 
   2900000 |       490.70440 |       785.76660 |       433.37840 | 
   3000000 |       508.49360 |       808.00800 |       457.04800 | 
   3100000 |       552.69060 |       875.47760 |       475.31420 | 
   3200000 |       559.06000 |       883.08360 |       479.90940 | 
   3300000 |       563.48680 |       899.82940 |       493.44500 | 
   3400000 |       585.34460 |       932.63240 |       508.66820 | 
   3500000 |       601.68400 |       954.47400 |       522.90120 | 
   3600000 |       618.37280 |       990.99460 |       538.24860 | 
   3700000 |       635.31980 |      1015.28620 |       559.21520 | 
   3800000 |       658.61560 |      1052.99060 |       568.10620 | 
   3900000 |       681.40440 |      1083.30140 |       592.75980 | 
   4000000 |       724.56020 |      1128.18280 |       598.10440 | 
   4100000 |       716.71300 |      1130.66380 |       613.21760 | 
   4200000 |       738.76060 |      1173.18620 |       627.85360 | 
   4300000 |       757.76840 |      1191.27740 |       643.63120 | 
   4400000 |       779.99000 |      1221.68240 |       665.53600 | 
   4500000 |       796.07740 |      1249.14920 |       673.44860 | 
   4600000 |       817.37020 |      1290.32340 |       687.95300 | 
   4700000 |       860.52220 |      1310.24340 |       703.39040 | 
   4800000 |       856.80580 |      1347.96060 |       717.38820 | 
   4900000 |       874.94840 |      1369.66420 |       731.35800 | 
   5000000 |       896.86120 |      1401.89480 |       754.75380 | 
