#     size |          binary |           100th | optimized 100th |
#----------------------------------------------------------------|
    100000 |        13.44520 |        51.07380 |        21.63160 | 
    200000 |        27.30120 |       107.40200 |        43.67940 | 
    300000 |        42.68500 |       168.94220 |        66.89800 | 
    400000 |        58.62060 |       225.25760 |        98.43600 | 
    500000 |        83.66920 |       291.76480 |       117.75300 | 
    600000 |        99.47800 |       383.68660 |       137.50260 | 
    700000 |       107.56160 |       395.81680 |       151.34580 | 
    800000 |       121.21780 |       455.78560 |       173.07400 | 
    900000 |       138.40160 |       515.98420 |       197.16000 | 
   1000000 |       154.82220 |       573.82040 |       216.51680 | 
   1100000 |       171.55200 |       629.71200 |       238.04060 | 
   1200000 |       186.99500 |       683.46740 |       258.99080 | 
   1300000 |       204.07700 |       747.39080 |       294.17620 | 
   1400000 |       221.68600 |       795.54640 |       302.59820 | 
   1500000 |       240.99560 |       849.85320 |       323.92700 | 
   1600000 |       254.59520 |       906.24820 |       344.76800 | 
   1700000 |       271.59240 |       962.87020 |       366.75560 | 
   1800000 |       289.04760 |      1023.00360 |       388.08720 | 
   1900000 |       306.81620 |      1078.41200 |       409.32600 | 
   2000000 |       323.69340 |      1135.27760 |       431.10160 | 
   2100000 |       344.01020 |      1203.02740 |       452.99640 | 
   2200000 |       359.03860 |      1278.14500 |       474.56920 | 
   2300000 |       388.26100 |      1356.56600 |       495.93220 | 
   2400000 |       395.26900 |      1422.87900 |       523.51620 | 
   2500000 |       413.22160 |      1498.13480 |       538.78860 | 
   2600000 |       437.24200 |      1571.94060 |       560.86180 | 
   2700000 |       449.54060 |      1643.49260 |       583.68900 | 
   2800000 |       467.31880 |      1718.33740 |       604.18660 | 
   2900000 |       493.12580 |      1794.35780 |       625.48740 | 
   3000000 |       506.22060 |      1879.81500 |       647.31620 | 
   3100000 |       526.49220 |      1946.04200 |       668.76340 | 
   3200000 |       545.38940 |      2022.65460 |       690.57460 | 
   3300000 |       564.41300 |      2101.91480 |       722.54280 | 
   3400000 |       580.96680 |      2266.87780 |       813.11140 | 
   3500000 |       631.08100 |      2453.11700 |       784.01680 | 
   3600000 |       656.34320 |      2425.48340 |       844.29300 | 
   3700000 |       643.56360 |      2589.54800 |       846.81040 | 
   3800000 |       703.90140 |      2598.82180 |       832.63940 | 
   3900000 |       681.11720 |      2663.89680 |       847.82700 | 
   4000000 |       697.56340 |      2651.44000 |       863.34980 | 
   4100000 |       717.40480 |      2720.20860 |       885.63420 | 
   4200000 |       735.74640 |      2796.35340 |       907.43100 | 
   4300000 |       754.73360 |      2868.64060 |       929.38060 | 
   4400000 |       789.18660 |      2952.73440 |       953.14620 | 
   4500000 |       800.91340 |      3028.36000 |       974.43400 | 
   4600000 |       815.13120 |      3094.13700 |       993.80980 | 
   4700000 |       832.64920 |      3171.85120 |      1014.80100 | 
   4800000 |       856.19360 |      3246.66120 |      1036.98620 | 
   4900000 |       873.94120 |      3324.26000 |      1062.55920 | 
   5000000 |       909.16360 |      3596.00240 |      1170.00640 | 
